,Date,Steps
0,2024-08-23,17655
1,2024-08-24,16212
2,2024-08-25,23992
3,2024-08-26,13704
4,2024-08-27,14080
5,2024-08-28,9900
6,2024-08-29,21196
7,2024-08-30,9337
8,2024-08-31,9652
9,2024-09-01,10157
10,2024-09-02,15511
11,2024-09-03,22639
12,2024-09-04,7026
13,2024-09-05,15570
14,2024-09-06,17412
15,2024-09-07,18672
16,2024-09-08,19401
17,2024-09-09,10130
18,2024-09-10,15366
19,2024-09-11,15963
20,2024-09-12,11462
21,2024-09-13,22777
22,2024-09-14,16333
23,2024-09-15,32582
24,2024-09-16,8639
25,2024-09-17,17426
26,2024-09-18,8043
27,2024-09-19,14268
28,2024-09-20,12927
29,2024-09-21,11412
